iter	Passed	Remaining
976	3493	1872
977	3494	1867
978	3495	1862
979	3496	1857
980	3497	1852
981	3727	1968
982	3728	1963
983	3729	1958
984	3730	1952
985	3731	1947
986	3731	1941
987	3733	1936
988	3733	1931
989	3735	1926
990	3735	1920
991	3736	1915
992	3737	1910
993	3739	1905
994	3740	1900
995	3741	1895
996	3742	1890
997	3743	1884
998	3744	1879
999	3745	1874
1000	3746	1869
1001	3747	1864
1002	3748	1859
1003	3748	1853
1004	3749	1848
1005	3750	1843
1006	3751	1838
1007	3751	1832
1008	3759	1831
1009	3760	1826
1010	3761	1820
1011	3762	1815
1012	3806	1831
1013	3807	1826
1014	3808	1821
1015	3809	1816
1016	3812	1812
1017	3813	1807
1018	3814	1801
1019	3815	1796
1020	3816	1791
1021	3816	1786
1022	3817	1781
1023	3818	1776
1024	3823	1773
1025	3824	1767
1026	3825	1762
1027	3825	1757
1028	3826	1752
1029	3827	1747
1030	3828	1742
1031	3829	1737
1032	3834	1734
1033	3839	1731
1034	3840	1726
1035	3845	1723
1036	3846	1718
1037	3847	1713
1038	3848	1708
1039	3849	1703
1040	3850	1698
1041	3851	1693
1042	3851	1688
1043	3852	1683
1044	3853	1678
1045	3854	1673
1046	3855	1668
1047	3858	1664
1048	3858	1659
1049	3860	1654
1050	3861	1650
1051	3862	1645
1052	3862	1640
1053	3863	1635
1054	3864	1630
1055	3865	1625
1056	3866	1620
1057	3867	1616
1058	3868	1611
1059	3869	1606
1060	3870	1601
1061	3870	1596
1062	3875	1593
1063	3876	1588
1064	3877	1583
1065	3878	1579
1066	3885	1577
1067	3886	1572
1068	3887	1567
1069	3888	1562
1070	3888	1557
1071	3889	1552
1072	3890	1548
1073	3890	1543
1074	3891	1538
1075	3892	1533
1076	3893	1528
1077	3894	1524
1078	3902	1522
1079	3904	1518
1080	3905	1513
1081	3916	1512
1082	3917	1508
1083	3920	1504
1084	3921	1499
1085	3922	1494
1086	3922	1490
1087	3923	1485
1088	3924	1480
1089	3925	1476
1090	3925	1471
1091	3926	1466
1092	3927	1461
1093	3928	1457
1094	3929	1452
1095	3929	1447
1096	3930	1443
1097	3931	1438
1098	3932	1434
1099	3933	1429
1100	3941	1427
1101	3942	1423
1102	3943	1418
1103	3945	1414
1104	3948	1410
1105	3948	1405
1106	3949	1401
1107	3950	1396
1108	3951	1392
1109	3953	1388
1110	3953	1383
1111	3954	1378
1112	3955	1374
1113	3955	1369
1114	3956	1365
1115	3957	1360
1116	3959	1356
1117	3960	1352
1118	3961	1347
1119	3962	1343
1120	3966	1340
1121	3968	1335
1122	3968	1331
1123	3983	1331
1124	3984	1326
1125	3985	1322
1126	3986	1318
1127	3987	1313
1128	3988	1309
1129	3989	1304
1130	3990	1300
1131	3990	1296
1132	3991	1291
1133	4000	1289
1134	4000	1285
1135	4001	1280
1136	4002	1276
1137	4002	1271
1138	4003	1267
1139	4004	1263
1140	4006	1259
1141	4007	1254
1142	4008	1250
1143	4008	1245
1144	4009	1241
1145	4010	1237
1146	4011	1232
1147	4012	1228
1148	4013	1224
1149	4014	1220
1150	4014	1215
1151	4015	1211
1152	4016	1207
1153	4017	1202
1154	4018	1198
1155	4020	1194
1156	4021	1190
1157	4022	1186
1158	4025	1182
1159	4027	1178
1160	4027	1174
1161	4028	1170
1162	4029	1165
1163	4030	1161
1164	4031	1157
1165	4032	1153
1166	4033	1148
1167	4034	1144
1168	4036	1140
1169	4037	1136
1170	4038	1132
1171	4039	1128
1172	4040	1124
1173	4040	1119
1174	4041	1115
1175	4043	1111
1176	4044	1107
1177	4049	1104
1178	4050	1100
1179	4051	1096
1180	4054	1092
1181	4055	1088
1182	4097	1095
1183	4098	1091
1184	4099	1087
1185	4099	1083
1186	4100	1078
1187	4101	1074
1188	4101	1070
1189	4102	1066
1190	4103	1062
1191	4119	1062
1192	4120	1057
1193	4121	1053
1194	4122	1049
1195	4122	1045
1196	4123	1041
1197	4124	1037
1198	4125	1033
1199	4126	1029
1200	4127	1024
1201	4128	1020
1202	4129	1016
1203	4129	1012
1204	4130	1008
1205	4131	1004
1206	4132	1000
1207	4138	997
1208	4138	993
1209	4140	989
1210	4140	989
1211	4142	982
1212	4147	979
1213	4148	975
1214	4149	971
1215	4151	967
1216	4152	963
1217	4153	959
1218	4153	955
1219	4155	951
1220	4155	947
1221	4156	943
1222	4157	939
1223	4158	935
1224	4450	996
1225	4451	992
1226	4452	988
1227	4453	983
1228	4454	979
1229	4455	975
1230	4457	971
1231	4457	967
1232	4459	963
1233	4460	958
1234	4461	954
1235	4462	950
1236	4463	946
1237	4463	942
1238	4601	966
1239	4602	962
1240	4603	957
1241	4604	953
1242	4608	950
1243	4609	945
1244	4610	941
1245	4610	937
1246	4611	932
1247	4612	928
1248	4613	924
1249	4613	919
1250	4614	915
1251	4616	911
1252	4616	907
1253	4617	902
1254	4618	898
1255	4619	894
1256	4620	890
1257	4621	885
1258	4622	881
1259	4623	877
1260	4626	873
1261	4626	869
1262	4628	865
1263	4630	861
1264	4630	857
1265	4631	852
1266	4632	848
1267	4633	844
1268	4635	840
1269	4636	836
1270	4636	832
1271	4637	827
1272	4638	823
1273	4639	819
1274	4640	815
1275	4641	811
1276	4643	807
1277	4644	803
1278	4646	799
1279	4647	795
1280	4648	791
1281	4649	787
1282	4650	782
1283	4651	778
1284	4652	774
1285	4655	771
1286	4655	766
1287	4657	762
1288	4657	758
1289	4658	754
1290	4659	750
1291	4664	747
1292	4664	743
1293	4665	738
1294	4666	734
1295	4667	730
1296	4667	730
1297	4668	723
1298	4669	719
1299	4670	715
1300	4671	711
1301	4672	707
1302	4672	703
1303	4673	699
1304	4674	695
1305	4675	691
1306	4676	687
1307	4677	683
1308	4678	679
1309	4679	675
1310	4687	672
1311	4688	668
1312	4691	664
1313	4698	661
1314	4709	658
1315	4711	655
1316	4711	651
1317	4713	647
1318	4715	643
1319	4716	639
1320	4717	635
1321	4718	631
1322	4718	627
1323	4719	623
1324	4720	619
1325	4720	615
1326	4721	611
1327	4722	607
1328	4723	603
